x, y, u, v, p, 
0.971132, 0.53, 0.360077, 0.0204886, -0.0697063, 
0.977109, 0.0403521, 0.0147285, 0.00421741, -0.046618, 
0.988453, 0.42, 0.119562, 0.0119119, -0.0660948, 
0.976906, 0.26, 0.127896, 0.0212917, -0.0570829, 
0.971132, 0.75, 0.440859, 0.00500751, -0.0683445, 
0.976906, 0.28, 0.140995, 0.0218692, -0.0582983, 
0.971132, 0.71, 0.447064, 0.00880238, -0.0695364, 
0.976906, 0.38, 0.206596, 0.0220743, -0.0640185, 
0.971132, 0.35, 0.229753, 0.0266729, -0.0623134, 
0.780607, 0.78, 0.620291, 0.0153357, -0.0585492, 
0.994226, 0.75, 0.073761, 0.000161974, -0.0684768, 
0.976906, 0.84, 0.272244, -0.00382212, -0.0643764, 
0.971132, 0.19, 0.104322, 0.0210673, -0.0528202, 
0.994226, 0.79, 0.0656283, -0.000928549, -0.0668751, 
0.994226, 0.83, 0.0517295, -0.00193006, -0.0649349, 
0.988453, 0.82, 0.153241, -0.00236223, -0.0654383, 
0.971191, 0.0501015, 0.0229848, 0.00619678, -0.0467414, 
0.976906, 0.56, 0.30986, 0.0156845, -0.0703459, 
0.988453, 0.1, 0.0196936, 0.00609244, -0.0485122, 
0.97694, 0.0600585, 0.0222099, 0.00630242, -0.047065, 
0.388009, 0.0800008, 0.0759424, -0.0190292, 0.0169044, 
0.994226, 0.71, 0.0770379, 0.00121978, -0.069693, 
0.994226, 0.65, 0.0759612, 0.00263514, -0.0707346, 
0.994226, 0.27, 0.0278532, 0.00686215, -0.0578421, 
0.988453, 0.86, 0.120565, -0.00388265, -0.0632956, 
0.953812, 0.56, 0.554895, 0.0267364, -0.069933, 
0.953812, 0.34, 0.328443, 0.0366049, -0.0613746, 
0.405349, 0.0700348, 0.0741107, -0.0165108, 0.0141993, 
0.434232, 0.0600976, 0.0717686, -0.0133839, 0.00978983, 
0.971132, 0.27, 0.165401, 0.0256618, -0.0576046, 
0.416896, 0.0700348, 0.0756992, -0.0160924, 0.0124337, 
0.728946, 0.0502281, 0.0790771, 0.00295363, -0.030518, 
0.42269, 0.0600705, 0.0703691, -0.0139329, 0.0115138, 
0.0877866, 0.54, -0.0104709, 0.00393493, 0.0823458, 
0.971132, 0.65, 0.429841, 0.0135308, -0.0705494, 
0.988453, 0.52, 0.14939, 0.00957052, -0.0696637, 
0.711325, 0.100001, 0.134472, 0.000900051, -0.0297969, 
0.994226, 0.53, 0.0650005, 0.00491724, -0.0699296, 
0.0589191, 0.55, -0.00740528, 0.00266984, 0.0854859, 
0.399559, 0.0800058, 0.0777327, -0.0186054, 0.0151393, 
0.717098, 0.13, 0.162297, 0.000107929, -0.0314711, 
0.0532832, 0.540017, -0.00655726, 0.00165997, 0.0855457, 
0.988453, 0.76, 0.181368, 0.000545975, -0.0680932, 
0.988453, 0.78, 0.174852, -0.000451418, -0.0672938, 
0.694259, 0.0501287, 0.0782176, 0.000782008, -0.0267049, 
0.988453, 0.74, 0.185323, 0.00152981, -0.0687987, 
0.105107, 0.55, -0.0125767, 0.0057795, 0.0805889, 
0.988453, 0.8, 0.165511, -0.00143316, -0.0664065, 
0.110881, 0.56, -0.0133867, 0.00692401, 0.08011, 
0.971132, 0.67, 0.438016, 0.0120824, -0.070318, 
0.763286, 0.11, 0.153167, 0.0076082, -0.0357896, 
0.699778, 0.100001, 0.132575, -0.000435835, -0.0284374, 
