x, y, u, v, p, 
0.784839, 0.963282, 0.273012, 0.00129011, -0.0549524, 
0.966767, 0.971545, 0.0654394, -0.00294874, -0.0576115, 
0.958058, 0.976827, 0.0696094, -0.00264386, -0.0578435, 
0.957214, 0.966191, 0.095968, -0.00236638, -0.0581051, 
0.887934, 0.0360481, 0.0480528, 0.00808274, -0.0435155, 
0.886254, 0.0254833, 0.0352023, 0.00483019, -0.0432694, 
0.263625, 0.037, 0.0320271, -0.00915941, 0.0339125, 
0.26298, 0.026115, 0.0242584, -0.00997205, 0.0339036, 
0.0914452, 0.953091, 0.0159367, 0.0116886, 0.0690782, 
0.092131, 0.96239, 0.0174467, 0.00812195, 0.0687037, 
0.0836785, 0.958065, 0.0144306, 0.0105762, 0.0694097, 
0.592351, 0.963784, 0.13706, 0.00590848, -0.0301969, 
0.593992, 0.974356, 0.110272, -0.000131354, -0.0304758, 
0.83446, 0.963697, 0.286117, 0.00086193, -0.0579224, 
0.835259, 0.974162, 0.221214, -0.000609162, -0.0578691, 
0.0740723, 0.0263666, 0.00696609, -0.0046506, 0.05128, 
0.0726529, 0.036858, 0.00984188, -0.00712908, 0.0515659, 
0.797963, 0.0260416, 0.0419797, 0.00473781, -0.0369228, 
0.798554, 0.0361843, 0.0549856, 0.00360715, -0.0370801, 
0.505879, 0.0361711, 0.0506529, -0.00519932, -0.00105317, 
0.504543, 0.0256831, 0.0373762, -0.0072921, -0.000836942, 
0.421279, 0.980828, 0.0585324, 0.00372731, 0.0060817, 
0.644971, 0.974117, 0.13213, 0.00515171, -0.0386022, 
0.645883, 0.963647, 0.165633, 0.00185671, -0.0388588, 
0.963806, 0.991091, 0.039981, -0.010903, -0.0573057, 
0.973806, 0.991091, 0.0319021, -0.0119838, -0.0567448, 
0.97, 1, 0.1, 0, -0.0569783, 
0.912375, 0.0397212, 0.044298, 0.00860393, -0.0448294, 
0.904465, 0.0448912, 0.0545897, 0.00991773, -0.0445704, 
0.921849, 0.0446675, 0.0467709, 0.00817398, -0.0452991, 
0.939981, 0.956119, 0.169921, -0.00348966, -0.0588799, 
0.948656, 0.961382, 0.128487, -0.00410658, -0.0585084, 
0.02466, 0.384133, -0.000614229, -0.00239708, 0.0775171, 
0.0325167, 0.389051, -0.00308227, -0.00431672, 0.0776144, 
0.0241594, 0.394048, -0.00290442, -0.00135409, 0.0782964, 
0.040712, 0.384414, -0.00388129, -0.0027517, 0.0768835, 
0.0402113, 0.394329, -0.00202785, -0.00344039, 0.0776605, 
0.540181, 0.0169525, 0.0251025, -0.00127796, -0.00590766, 
0.535348, 0.0069525, 0.00986543, -0.00270515, -0.00533835, 
0.106616, 0.0542379, 0.0174032, -0.0125611, 0.0500955, 
0.107376, 0.0647207, 0.0180262, -0.0121527, 0.0503895, 
0.0400926, 0.714741, -0.0101498, 0.00805947, 0.0877836, 
0.032019, 0.709794, -0.00891262, 0.00778835, 0.0884235, 
0.0399094, 0.704686, -0.00933576, 0.00939111, 0.0880732, 
0.0400466, 0.194749, 0.00542997, -0.009954, 0.0614083, 
0.0319764, 0.189799, 0.00305601, -0.0094708, 0.0612971, 
0.0399022, 0.184691, 0.00381509, -0.00912474, 0.060666, 
0.0399806, 0.93478, 0.00342755, 0.00932608, 0.0723752, 
0.0319091, 0.929829, 0.00249892, 0.0103382, 0.0729105, 
0.0398902, 0.92469, 0.00375914, 0.0107386, 0.0731616, 
0.0320051, 0.270205, 0.000348521, -0.00804495, 0.0677621, 
0.0400767, 0.265254, 0.0002759, -0.00719688, 0.0670567, 
0.0398902, 0.27531, 0.00218526, -0.00787433, 0.0678889, 
0.0571529, 0.364649, -0.0018455, -0.00588244, 0.0743838, 
0.0489839, 0.359667, -0.00346583, -0.00663018, 0.0744761, 
0.0571592, 0.35471, -0.00350583, -0.00480369, 0.0735957, 
0.00799288, 0.295106, -0.00234599, -0.000756714, 0.0704176, 
0.0160239, 0.300162, -0.00032623, -0.00424755, 0.0707255, 
0.00803103, 0.305056, -0.00467067, -0.000488794, 0.0712865, 
0.0399249, 0.134634, 0.00764144, -0.0100582, 0.0572208, 
0.0317784, 0.129654, 0.00497876, -0.00918881, 0.0571424, 
0.0398975, 0.124653, 0.00624855, -0.00902397, 0.0566154, 
0.00793916, 0.515144, -0.00617499, 0.00073328, 0.0865571, 
0.0159702, 0.520201, -0.00317071, 3.75357e-05, 0.0866396, 
0.00803103, 0.525056, -0.0077079, 0.00107621, 0.087058, 
